,color,geometry,year
1,0.0,"POLYGON ((6.1042692921 51.37630112575, 6.1042692921 51.415533710375, 6.043671698 51.415533710375, 6.043671698 51.37630112575, 6.1042692921 51.37630112575))",1952
2,0.0,"POLYGON ((6.1042692921 51.337068541125, 6.1042692921 51.37630112575, 6.043671698 51.37630112575, 6.043671698 51.337068541125, 6.1042692921 51.337068541125))",1952
3,0.0,"POLYGON ((6.1042692921 51.2978359565, 6.1042692921 51.337068541125, 6.043671698 51.337068541125, 6.043671698 51.2978359565, 6.1042692921 51.2978359565))",1952
9,0.0,"POLYGON ((6.1648668862 51.37630112575, 6.1648668862 51.415533710375, 6.1042692921 51.415533710375, 6.1042692921 51.37630112575, 6.1648668862 51.37630112575))",1952
10,0.0,"POLYGON ((6.1648668862 51.337068541125, 6.1648668862 51.37630112575, 6.1042692921 51.37630112575, 6.1042692921 51.337068541125, 6.1648668862 51.337068541125))",1952
11,0.0,"POLYGON ((6.1648668862 51.2978359565, 6.1648668862 51.337068541125, 6.1042692921 51.337068541125, 6.1042692921 51.2978359565, 6.1648668862 51.2978359565))",1952
12,0.0,"POLYGON ((6.1648668862 51.258603371875, 6.1648668862 51.29783595649999, 6.1042692921 51.29783595649999, 6.1042692921 51.258603371875, 6.1648668862 51.258603371875))",1952
13,0.0,"POLYGON ((6.1648668862 51.21937078725, 6.1648668862 51.258603371875, 6.1042692921 51.258603371875, 6.1042692921 51.21937078725, 6.1648668862 51.21937078725))",1952
16,0.0,"POLYGON ((6.225464480299999 51.415533710375, 6.225464480299999 51.454766295, 6.1648668862 51.454766295, 6.1648668862 51.415533710375, 6.225464480299999 51.415533710375))",1952
17,0.0,"POLYGON ((6.225464480299999 51.37630112575, 6.225464480299999 51.415533710375, 6.1648668862 51.415533710375, 6.1648668862 51.37630112575, 6.225464480299999 51.37630112575))",1952
18,0.0,"POLYGON ((6.225464480299999 51.337068541125, 6.225464480299999 51.37630112575, 6.1648668862 51.37630112575, 6.1648668862 51.337068541125, 6.225464480299999 51.337068541125))",1952
19,0.5572455525398254,"POLYGON ((6.225464480299999 51.2978359565, 6.225464480299999 51.337068541125, 6.1648668862 51.337068541125, 6.1648668862 51.2978359565, 6.225464480299999 51.2978359565))",1952
20,0.2582663297653198,"POLYGON ((6.225464480299999 51.258603371875, 6.225464480299999 51.29783595649999, 6.1648668862 51.29783595649999, 6.1648668862 51.258603371875, 6.225464480299999 51.258603371875))",1952
21,0.0,"POLYGON ((6.225464480299999 51.21937078725, 6.225464480299999 51.258603371875, 6.1648668862 51.258603371875, 6.1648668862 51.21937078725, 6.225464480299999 51.21937078725))",1952
22,0.26463592052459717,"POLYGON ((6.225464480299999 51.180138202625, 6.225464480299999 51.21937078725, 6.1648668862 51.21937078725, 6.1648668862 51.180138202625, 6.225464480299999 51.180138202625))",1952
23,0.25849974155426025,"POLYGON ((6.225464480299999 51.140905618, 6.225464480299999 51.180138202625, 6.1648668862 51.180138202625, 6.1648668862 51.140905618, 6.225464480299999 51.140905618))",1952
24,0.0,"POLYGON ((6.2860620744 51.415533710375, 6.2860620744 51.454766295, 6.2254644803 51.454766295, 6.2254644803 51.415533710375, 6.2860620744 51.415533710375))",1952
