Messst.-Nr.;Datum;Gw-Stand [mNHN];MPH [mNHN];Abstich [m];Bemerkungen
28908371;30.03.1990;35,67;38,13;2,46;
28908371;26.04.1990;35,57;38,13;2,56;
28908371;31.05.1990;35,4;38,13;2,73;
28908371;27.06.1990;35,43;38,13;2,7;
28908371;31.07.1990;35,29;38,13;2,84;
28908371;31.08.1990;35,17;38,13;2,96;
28908371;30.10.1990;35,26;38,13;2,87;
28908371;27.11.1990;35,36;38,13;2,77;
28908371;20.12.1990;35,39;38,13;2,74;
28908371;31.01.1991;35,52;38,13;2,61;
28908371;28.02.1991;35,49;38,13;2,64;
28908371;30.03.1991;35,4;38,13;2,73;
28908371;25.04.1991;35,32;38,13;2,81;
28908371;25.05.1991;35,22;38,13;2,91;
28908371;29.06.1991;35,2;38,13;2,93;
28908371;26.07.1991;35,11;38,13;3,02;
28908371;30.08.1991;34,95;38,13;3,18;
28908371;28.09.1991;34,94;38,13;3,19;
28908371;30.10.1991;34,94;38,13;3,19;
28908371;30.11.1991;34,94;38,13;3,19;
28908371;29.12.1991;35,29;38,13;2,84;
28908371;31.01.1992;35,2;38,13;2,93;
28908371;27.02.1992;35,21;38,13;2,92;
28908371;28.03.1992;35,36;38,13;2,77;
28908371;30.04.1992;35,32;38,13;2,81;
28908371;30.05.1992;35,08;38,13;3,05;
28908371;27.06.1992;35,07;38,13;3,06;
28908371;30.07.1992;34,89;38,13;3,24;
28908371;27.08.1992;34,99;38,13;3,14;
28908371;29.09.1992;34,86;38,13;3,27;
28908371;31.10.1992;34,97;38,13;3,16;
28908371;28.11.1992;35,29;38,13;2,84;
28908371;30.12.1992;35,18;38,13;2,95;
28908371;30.01.1993;35,46;38,13;2,67;
28908371;27.02.1993;35,42;38,13;2,71;
28908371;27.03.1993;35,31;38,13;2,82;
28908371;30.04.1993;35,22;38,13;2,91;
28908371;29.05.1993;35,21;38,13;2,92;
28908371;26.06.1993;35,09;38,13;3,04;
28908371;30.07.1993;35,14;38,13;2,99;
28908371;28.08.1993;34,9;38,13;3,23;
28908371;30.09.1993;35,36;38,13;2,77;
28908371;30.10.1993;35,31;38,13;2,82;
28908371;27.11.1993;35,35;38,13;2,78;
28908371;30.12.1993;35,79;38,13;2,34;
28908371;29.01.1994;35,9;38,13;2,23;
28908371;26.02.1994;35,74;38,13;2,39;
28908371;26.03.1994;36,02;38,13;2,11;
28908371;30.04.1994;35,79;38,13;2,34;
28908371;28.05.1994;35,69;38,13;2,44;
28908371;25.06.1994;35,54;38,13;2,59;
28908371;30.07.1994;35,42;38,13;2,71;
28908371;31.08.1994;35,36;38,13;2,77;
28908371;30.09.1994;35,45;38,13;2,68;
28908371;31.10.1994;35,49;38,13;2,64;
28908371;26.11.1994;35,5;38,13;2,63;
28908371;31.12.1994;35,65;38,13;2,48;
28908371;30.01.1995;35,94;38,13;2,19;
28908371;28.02.1995;35,86;38,13;2,27;
28908371;31.03.1995;36,04;38,13;2,09;
28908371;28.04.1995;35,79;38,13;2,34;
28908371;31.05.1995;35,75;38,13;2,38;
28908371;30.06.1995;35,68;38,13;2,45;
28908371;28.07.1995;35,39;38,13;2,74;
28908371;30.08.1995;35,25;38,13;2,88;
28908371;30.09.1995;35,36;38,13;2,77;
28908371;30.10.1995;35,29;38,13;2,84;
28908371;25.11.1995;35,33;38,13;2,8;
28908371;30.12.1995;35,39;38,13;2,74;
28908371;31.01.1996;35,31;38,13;2,82;
28908371;29.02.1996;35,45;38,13;2,68;
28908371;30.03.1996;35,29;38,13;2,84;
28908371;30.04.1996;35,27;38,13;2,86;
28908371;30.05.1996;35,22;38,13;2,91;
28908371;29.06.1996;35,08;38,13;3,05;
28908371;31.07.1996;35,04;38,13;3,09;
28908371;31.08.1996;35,22;38,13;2,91;
28908371;30.09.1996;35,07;38,13;3,06;
28908371;31.10.1996;35,11;38,13;3,02;
28908371;30.11.1996;35,33;38,13;2,8;
28908371;31.01.1997;35,17;38,13;2,96;
28908371;28.02.1997;35,44;38,13;2,69;
28908371;26.03.1997;35,49;38,13;2,64;
28908371;26.04.1997;35,27;38,13;2,86;
28908371;30.05.1997;35,15;38,13;2,98;
28908371;29.06.1997;35,17;38,13;2,96;
28908371;30.07.1997;35,31;38,13;2,82;
28908371;30.08.1997;35,15;38,13;2,98;
28908371;29.09.1997;35,06;38,13;3,07;
28908371;31.10.1997;35,13;38,13;3;
28908371;30.11.1997;35,11;38,13;3,02;
28908371;30.12.1997;35,65;38,13;2,48;
28908371;31.01.1998;35,27;38,13;2,86;
28908371;28.02.1998;35,15;38,13;2,98;
28908371;30.03.1998;35,29;38,13;2,84;
28908371;30.04.1998;35,4;38,13;2,73;
28908371;28.05.1998;35,24;38,13;2,89;
28908371;30.06.1998;35,43;38,13;2,7;
28908371;25.07.1998;35,33;38,13;2,8;
28908371;29.08.1998;35,27;38,13;2,86;
28908371;26.09.1998;35,51;38,13;2,62;
28908371;31.10.1998;35,78;38,13;2,35;
28908371;30.11.1998;35,86;38,13;2,27;
28908371;31.12.1998;35,9;38,13;2,23;
28908371;30.01.1999;35,9;38,13;2,23;
28908371;27.02.1999;36,04;38,13;2,09;
28908371;31.03.1999;36,08;38,13;2,05;
28908371;28.04.1999;36;38,13;2,13;
28908371;29.05.1999;35,81;38,13;2,32;
28908371;30.06.1999;35,71;38,13;2,42;
28908371;28.07.1999;35,69;38,13;2,44;
28908371;28.08.1999;35,61;38,13;2,52;
28908371;30.09.1999;35,61;38,13;2,52;
28908371;30.10.1999;35,58;38,13;2,55;
28908371;27.11.1999;35,61;38,13;2,52;
28908371;27.12.1999;35,94;38,13;2,19;
28908371;29.01.2000;35,83;38,13;2,3;
28908371;26.02.2000;35,97;38,13;2,16;
28908371;31.03.2000;35,93;38,13;2,2;
28908371;29.04.2000;35,89;38,13;2,24;
28908371;31.05.2000;35,69;38,13;2,44;
28908371;30.06.2000;35,54;38,13;2,59;
28908371;31.07.2000;35,65;38,13;2,48;
28908371;26.08.2000;35,47;38,13;2,66;
28908371;30.09.2000;35,65;38,13;2,48;
28908371;30.10.2000;35,65;38,13;2,48;
28908371;30.11.2000;35,78;38,13;2,35;
28908371;30.12.2000;35,71;38,13;2,42;
28908371;31.01.2001;35,9;38,13;2,23;
28908371;27.02.2001;35,99;38,13;2,14;
28908371;31.03.2001;36,04;38,13;2,09;
28908371;30.04.2001;36,04;38,13;2,09;
28908371;26.05.2001;35,79;38,13;2,34;
28908371;30.06.2001;35,92;38,13;2,21;
28908371;29.07.2001;35,54;38,13;2,59;
28908371;28.08.2001;35,49;38,13;2,64;
28908371;30.09.2001;35,7;38,13;2,43;
28908371;28.10.2001;35,57;38,13;2,56;
28908371;26.11.2001;35,69;38,13;2,44;
28908371;28.12.2001;35,9;38,13;2,23;
