Hydro_Jahr;Jahreszeit;Unterschreitungsdauer;Summe Ablussdefizite
1986;Fruehling;6;9158,4
1986;Herbst;10;12268,8
1986;Winter;30;55641,6
1987;Fruehling;20;42336
1987;Herbst;15;22377,6
1987;Sommer;42;81734,4
1987;Winter;36;79228,8
1988;Fruehling;20;11404,8
1988;Herbst;18;23284,8
1988;Sommer;26;32011,2
1988;Winter;63;98085,6
1989;Fruehling;17;17755,2
1989;Herbst;60;76291,2
1989;Sommer;51;80395,2
1989;Winter;32;39225,6
1990;Fruehling;11;5248,8
1990;Herbst;12;8985,6
1990;Sommer;23;30996
1990;Winter;22;24321,6
1991;Fruehling;16;20649,6
1991;Herbst;40;54432
1991;Sommer;33;50241,6
1991;Winter;37;39787,2
1992;Fruehling;13;16308
1992;Herbst;20;15552
1992;Sommer;46;83592
1992;Winter;13;9828
1993;Fruehling;36;68169,6
1993;Herbst;50;89251,2
1993;Sommer;11;20865,6
1993;Winter;22;26784
1994;Fruehling;11;10260
1994;Herbst;19;22442,4
1994;Sommer;39;70999,2
1994;Winter;24;33782,4
1995;Fruehling;44;49248
1995;Herbst;45;62769,6
1995;Sommer;18;22464
1995;Winter;22;13478,4
1996;Fruehling;24;18403,2
1996;Herbst;58;71841,6
1996;Sommer;30;32616
1996;Winter;2;43,2
1997;Fruehling;24;19008
1997;Herbst;51;51343,2
1997;Sommer;40;43459,2
1998;Fruehling;20;16761,6
1998;Herbst;10;4665,6
1998;Sommer;72;148694,4
1998;Winter;21;15379,2
1999;Fruehling;18;19656
1999;Herbst;48;64108,8
1999;Sommer;24;19872
1999;Winter;30;47563,2
2000;Fruehling;13;12484,8
2000;Herbst;25;24753,6
2000;Sommer;51;93441,6
2000;Winter;7;1425,6
2001;Fruehling;28;32486,4
2001;Herbst;2;691,2
2001;Sommer;40;46396,8
2001;Winter;36;47174,4
2002;Herbst;40;51062,4
2002;Sommer;43;51840
2002;Winter;9;5443,2
2003;Fruehling;1;734,4
2003;Herbst;45;33739,2
2003;Sommer;52;85881,6
2003;Winter;2;950,4
2004;Fruehling;37;28512
2004;Herbst;58;65145,6
2004;Sommer;11;6912
2004;Winter;51;58838,4
2005;Herbst;41;45338,4
2005;Sommer;18;7473,6
2005;Winter;47;69055,2
2006;Herbst;59;69530,4
2006;Sommer;43;73591,2
2006;Winter;23;24861,6
2007;Fruehling;9;7279,2
2007;Herbst;70;86443,2
2007;Sommer;62;86270,4
2007;Winter;37;24040,8
2008;Herbst;67;103485,6
2008;Sommer;14;20952
2008;Winter;65;87458,4
2009;Fruehling;11;2268
2009;Herbst;11;3736,8
2009;Sommer;58;76507,2
2010;Fruehling;15;3650,4
2010;Herbst;2;561,6
2010;Sommer;96;146620,8
2011;Fruehling;56;63849,6
2011;Herbst;4;259,2
2011;Sommer;38;17625,6
2012;Fruehling;44;41299,2
2012;Herbst;19;5767,2
2012;Sommer;47;45770,4
2013;Fruehling;38;36547,2
2013;Herbst;33;21772,8
2013;Sommer;48;61776
2014;Fruehling;16;6480
2014;Herbst;14;16070,4
2014;Sommer;44;79833,6
2014;Winter;26;12873,6
2015;Fruehling;52;65059,2
2015;Herbst;49;62510,4
2015;Sommer;36;21427,2
2016;Fruehling;17;8013,6
2016;Herbst;82;84801,6
2016;Winter;52;45878,4
2017;Fruehling;7;1166,4
2017;Herbst;48;22982,4
2017;Sommer;69;46872
2017;Winter;18;4579,2
2018;Fruehling;19;14925,6
2018;Herbst;21;8488,8
2018;Sommer;120;134611,2
2018;Winter;13;2095,2
2019;Fruehling;54;96379,2
2019;Herbst;7;1792,8
2019;Sommer;97;208504,8
2020;Fruehling;29;14666,4
2020;Herbst;1;64,8
2020;Sommer;55;52207,2
