Datum;Abfluss [m³/s];day;month;year;Hydro_Jahr;Jahreszeit;Monat;NQ;MNQ;MQ;MHQ;HQ
1986-10-02 00:00:00;0,163;2;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-03 00:00:00;0,172;3;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-04 00:00:00;0,148;4;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-05 00:00:00;0,137;5;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-06 00:00:00;0,152;6;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-07 00:00:00;0,163;7;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-08 00:00:00;0,167;8;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-09 00:00:00;0,152;9;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-10 00:00:00;0,145;10;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-11 00:00:00;0,14;11;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-12 00:00:00;0,118;12;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-13 00:00:00;0,142;13;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-14 00:00:00;0,168;14;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-15 00:00:00;0,17;15;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-16 00:00:00;0,16;16;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-17 00:00:00;0,161;17;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-18 00:00:00;0,157;18;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-19 00:00:00;0,184;19;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-20 00:00:00;0,416;20;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-21 00:00:00;0,333;21;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-22 00:00:00;0,945;22;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-23 00:00:00;0,304;23;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-24 00:00:00;0,207;24;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-25 00:00:00;0,17;25;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-26 00:00:00;0,175;26;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-27 00:00:00;0,157;27;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-28 00:00:00;0,231;28;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-29 00:00:00;0,263;29;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-30 00:00:00;0,203;30;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-10-31 00:00:00;0,197;31;10;1986;1986;Herbst;10;0,01;0,06;0,12;2,44;5,22
1986-11-01 00:00:00;0,231;1;11;1986;1986;Herbst;11;0,01;0,06;0,12;2,44;5,22
1986-11-02 00:00:00;0,186;2;11;1986;1986;Herbst;11;0,01;0,06;0,12;2,44;5,22
1986-11-03 00:00:00;0,195;3;11;1986;1986;Herbst;11;0,01;0,06;0,12;2,44;5,22
1986-11-04 00:00:00;0,23;4;11;1986;1986;Herbst;11;0,01;0,06;0,12;2,44;5,22
1986-11-05 00:00:00;0,227;5;11;1986;1986;Herbst;11;0,01;0,06;0,12;2,44;5,22
1986-11-06 00:00:00;0,211;6;11;1986;1986;Herbst;11;0,01;0,06;0,12;2,44;5,22
