Hydro_Jahr;Jahreszeit;Unterschreitungsdauer;Summe Ablussdefizite
1951;Fruehling;1;950,4
1951;Herbst;55;530409,6
1951;Sommer;49;443145,6
1952;Fruehling;7;13780,8
1952;Herbst;42;376876,8
1952;Sommer;47;701611,2
1953;Fruehling;21;103852,8
1953;Herbst;62;264470,4
1953;Sommer;9;18576
1953;Winter;9;21772,8
1954;Fruehling;41;354434,4
1954;Herbst;9;35100
1954;Sommer;46;283003,2
1955;Fruehling;4;8208
1955;Sommer;86;1035849,6
1956;Fruehling;51;933638,4
1956;Herbst;11;171849,6
1956;Sommer;32;361670,4
1957;Fruehling;27;294667,2
1957;Herbst;14;77500,8
1957;Sommer;46;793584
1957;Winter;3;2980,8
1958;Herbst;30;322833,6
1958;Sommer;46;691502,4
1958;Winter;57;475394,4
1959;Sommer;90;943228,8
1960;Fruehling;78;1022544
1960;Herbst;5;23976
1960;Sommer;7;28468,8
1961;Fruehling;22;305683,2
1961;Herbst;38;456883,2
1961;Sommer;27;211593,6
1961;Winter;5;21081,6
1962;Herbst;54;343828,8
1962;Sommer;21;134503,2
1962;Winter;31;137138,4
1963;Fruehling;7;7084,8
1963;Herbst;31;151286,4
1963;Sommer;43;409536
1963;Winter;4;3888
1964;Fruehling;10;28382,4
1964;Herbst;9;20498,4
1964;Sommer;70;608558,4
1965;Fruehling;37;336225,6
1965;Herbst;53;417096
1965;Sommer;18;276739,2
1966;Sommer;91;1378382,4
1967;Fruehling;2;518,4
1967;Herbst;16;110592
1967;Sommer;74;998179,2
1968;Fruehling;40;259891,2
1968;Sommer;33;502416
1968;Winter;11;52876,8
1969;Herbst;51;328514,4
1969;Sommer;36;522201,6
1969;Winter;10;15508,8
1970;Herbst;17;181245,6
1970;Sommer;65;907005,6
1970;Winter;8;38707,2
1971;Herbst;19;76356
1971;Sommer;66;494424
1972;Fruehling;1;1944
1972;Herbst;47;327499,2
1972;Sommer;18;152236,8
1972;Winter;29;154526,4
1973;Herbst;15;63914,4
1973;Sommer;82;720964,8
1974;Fruehling;66;542635,2
1974;Herbst;16;128822,4
1974;Sommer;20;94435,2
1975;Fruehling;10;19224
1975;Herbst;65;498333,6
1975;Sommer;18;60523,2
1975;Winter;8;30585,6
1976;Herbst;9;10389,6
1976;Sommer;76;580003,2
1977;Fruehling;10;50457,6
1977;Herbst;46;242179,2
1977;Sommer;48;315792
1978;Herbst;62;213235,2
1978;Sommer;52;408153,6
1979;Herbst;55;861537,6
1979;Sommer;42;498355,2
1980;Fruehling;52;917481,6
1980;Herbst;25;93225,6
1980;Sommer;9;29808
1981;Fruehling;18;142041,6
1981;Herbst;6;58233,6
1981;Sommer;76;868665,6
1982;Herbst;8;29721,6
1982;Sommer;81;1191801,6
1983;Herbst;57;440575,2
1983;Sommer;54;735912
1984;Fruehling;19;211572
1984;Herbst;6;16718,4
1984;Sommer;69;1057125,6
1984;Winter;4;7689,6
1985;Fruehling;8;88646,4
1985;Herbst;54;478699,2
1985;Sommer;33;247471,2
1986;Herbst;39;354499,2
1986;Sommer;55;1041552
1986;Winter;1;0
1987;Fruehling;21;163036,8
1987;Herbst;35;223776
1987;Sommer;43;638928
1988;Fruehling;18;172627,2
1988;Herbst;30;140918,4
1988;Sommer;43;619228,8
1988;Winter;15;47520
1989;Fruehling;10;37411,2
1989;Herbst;24;101779,2
1989;Sommer;56;667008
1989;Winter;1;0
1990;Fruehling;11;23889,6
1990;Herbst;25;105278,4
1990;Sommer;49;815400
1991;Fruehling;27;178610,4
1991;Herbst;6;16632
1991;Sommer;59;754812
1992;Fruehling;15;101066,4
1992;Herbst;30;161352
1992;Sommer;53;471938,4
1993;Fruehling;68;759024
1993;Herbst;5;3974,4
1993;Sommer;28;567993,6
1994;Fruehling;3;18100,8
1994;Herbst;39;310132,8
1994;Sommer;53;1007553,6
1995;Herbst;16;51062,4
1995;Sommer;70;797990,4
1995;Winter;1;388,8
1996;Fruehling;23;51040,8
1996;Herbst;13;28274,4
1996;Sommer;63;634068
1997;Fruehling;7;21060
1997;Herbst;59;489866,4
1997;Sommer;37;447746,4
1998;Fruehling;27;473990,4
1998;Herbst;11;43200
1998;Sommer;52;947635,2
1999;Fruehling;14;152150,4
1999;Herbst;41;394459,2
1999;Sommer;33;375278,4
2000;Fruehling;2;1080
2000;Herbst;13;86205,6
2000;Sommer;76;1215043,2
2001;Fruehling;9;40953,6
2001;Herbst;11;48384
2001;Sommer;73;837561,6
2001;Winter;4;1296
2002;Fruehling;17;148651,2
2002;Herbst;43;366724,8
2002;Sommer;35;415713,6
2003;Herbst;25;130053,6
2003;Sommer;58;997358,4
2003;Winter;5;2008,8
2004;Fruehling;14;94521,6
2004;Herbst;8;13996,8
2004;Sommer;67;623246,4
2005;Herbst;53;377956,8
2005;Sommer;38;337219,2
2006;Fruehling;7;11404,8
2006;Herbst;37;394416
2006;Sommer;56;795398,4
2007;Fruehling;26;263217,6
2007;Herbst;40;271382,4
2007;Sommer;23;198655,2
2008;Fruehling;12;72057,6
2008;Herbst;28;114307,2
2008;Sommer;60;538617,6
2008;Winter;4;1382,4
2009;Fruehling;35;269136
2009;Sommer;70;581212,8
2010;Fruehling;21;58838,4
2010;Herbst;10;34646,4
2010;Sommer;63;1169251,2
2011;Fruehling;15;42249,6
2011;Herbst;44;194227,2
2011;Sommer;43;254707,2
2012;Fruehling;15;119448
2012;Herbst;10;25056
2012;Sommer;66;781142,4
2013;Herbst;15;86745,6
2013;Sommer;76;761616
2014;Fruehling;45;492868,8
2014;Herbst;16;49420,8
2014;Sommer;31;284040
2015;Fruehling;40;385430,4
2015;Herbst;19;52207,2
2015;Sommer;42;234792
2016;Fruehling;12;46310,4
2016;Herbst;9;27540
2016;Sommer;72;884304
2017;Fruehling;53;879940,8
2017;Herbst;4;14774,4
2017;Sommer;30;157075,2
2018;Herbst;15;41104,8
2018;Sommer;92;620784
2019;Fruehling;5;6393,6
2019;Sommer;102;819417,6
2020;Sommer;65;191505,6
