Datum;Abfluss [m³/s];day;month;year;Hydro_Jahr;Jahreszeit;Monat;NQ;MNQ;MQ;MHQ;HQ
1958-07-24 00:00:00;0,873;24;7;1958;1958;Sommer;7;0,02;0,24;0,78;2,68;5,67
1958-07-25 00:00:00;0,806;25;7;1958;1958;Sommer;7;0,02;0,24;0,78;2,68;5,67
1958-07-26 00:00:00;0,767;26;7;1958;1958;Sommer;7;0,02;0,24;0,78;2,68;5,67
1958-07-27 00:00:00;0,762;27;7;1958;1958;Sommer;7;0,02;0,24;0,78;2,68;5,67
1958-07-28 00:00:00;0,963;28;7;1958;1958;Sommer;7;0,02;0,24;0,78;2,68;5,67
1958-07-29 00:00:00;0,988;29;7;1958;1958;Sommer;7;0,02;0,24;0,78;2,68;5,67
1958-07-30 00:00:00;0,921;30;7;1958;1958;Sommer;7;0,02;0,24;0,78;2,68;5,67
1958-07-31 00:00:00;0,816;31;7;1958;1958;Sommer;7;0,02;0,24;0,78;2,68;5,67
1958-08-01 00:00:00;0,783;1;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-02 00:00:00;0,868;2;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-03 00:00:00;0,825;3;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-04 00:00:00;0,791;4;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-05 00:00:00;0,687;5;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-06 00:00:00;0,748;6;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-07 00:00:00;0,65;7;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-08 00:00:00;0,629;8;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-09 00:00:00;0,592;9;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-10 00:00:00;0,602;10;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-11 00:00:00;0,729;11;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-12 00:00:00;1,117;12;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-13 00:00:00;1,603;13;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-14 00:00:00;1,314;14;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-15 00:00:00;1,257;15;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-16 00:00:00;1,605;16;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-17 00:00:00;1,349;17;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-18 00:00:00;1,155;18;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-19 00:00:00;1,205;19;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-20 00:00:00;1,217;20;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-21 00:00:00;1,102;21;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-22 00:00:00;0,987;22;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-23 00:00:00;0,946;23;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-24 00:00:00;0,91;24;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-25 00:00:00;0,918;25;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-26 00:00:00;1,092;26;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-27 00:00:00;0,724;27;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-28 00:00:00;0,671;28;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-29 00:00:00;0,623;29;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-30 00:00:00;0,562;30;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-08-31 00:00:00;0,5;31;8;1958;1958;Sommer;8;0,02;0,24;0,78;2,68;5,67
1958-09-01 00:00:00;0,543;1;9;1958;1958;Herbst;9;0,02;0,24;0,78;2,68;5,67
1958-09-02 00:00:00;0,604;2;9;1958;1958;Herbst;9;0,02;0,24;0,78;2,68;5,67
1958-09-03 00:00:00;0,524;3;9;1958;1958;Herbst;9;0,02;0,24;0,78;2,68;5,67
1958-09-04 00:00:00;0,478;4;9;1958;1958;Herbst;9;0,02;0,24;0,78;2,68;5,67
