Datum;Abfluss [m³/s];day;month;year;Hydro_Jahr;Jahreszeit;Monat;NQ;MNQ;MQ;MHQ;HQ
1950-10-31 00:00:00;2,107;31;10;1950;1950;Herbst;10;0,62;1,34;2,7;9,21;12,71
1950-11-01 00:00:00;1,64;1;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-02 00:00:00;1,696;2;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-03 00:00:00;4,89;3;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-04 00:00:00;2,961;4;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-05 00:00:00;1,986;5;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-06 00:00:00;1,859;6;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-07 00:00:00;1,986;7;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-08 00:00:00;1,966;8;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-09 00:00:00;1,89;9;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-10 00:00:00;1,935;10;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-11 00:00:00;1,964;11;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-12 00:00:00;1,566;12;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-13 00:00:00;2,172;13;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-14 00:00:00;2,795;14;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-15 00:00:00;3,089;15;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-16 00:00:00;2,884;16;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-17 00:00:00;3,127;17;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-18 00:00:00;2,378;18;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-19 00:00:00;1,834;19;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-20 00:00:00;1,962;20;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-21 00:00:00;2,174;21;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
1950-11-22 00:00:00;1,993;22;11;1950;1950;Herbst;11;0,62;1,34;2,7;9,21;12,71
