Hydro_Jahr;Jahreszeit;Unterschreitungsdauer;Summe Ablussdefizite
1950;Fruehling;3;2203,2
1950;Herbst;16;103593,6
1950;Winter;19;81259,2
1951;Fruehling;4;16243,2
1951;Herbst;42;329961,6
1951;Sommer;43;324475,2
1951;Winter;2;8640
1952;Fruehling;4;2419,2
1952;Herbst;13;51688,8
1952;Sommer;73;734940
1953;Fruehling;2;1123,2
1953;Herbst;49;149860,8
1953;Sommer;27;108734,4
1953;Winter;14;80611,2
1954;Fruehling;39;140097,6
1954;Herbst;14;29548,8
1954;Sommer;40;248745,6
1955;Herbst;71;325296
1955;Sommer;16;36547,2
1955;Winter;3;2332,8
1956;Fruehling;27;147096
1956;Herbst;15;184248
1956;Sommer;49;373204,8
1957;Fruehling;5;2073,6
1957;Herbst;40;177552
1957;Sommer;52;394070,4
1957;Winter;1;3024
1958;Fruehling;24;274233,6
1958;Herbst;31;127785,6
1958;Sommer;39;135907,2
1959;Fruehling;2;3369,6
1959;Herbst;47;220622,4
1959;Sommer;46;178070,4
1959;Winter;9;23803,2
1960;Fruehling;8;16848
1960;Herbst;26;125712
1960;Sommer;66;367372,8
1961;Fruehling;2;4752
1961;Herbst;51;375494,4
1961;Sommer;36;261273,6
1961;Winter;4;19612,8
1962;Herbst;54;270172,8
1962;Sommer;43;184161,6
1962;Winter;9;43156,8
1963;Herbst;38;152496
1963;Sommer;49;222652,8
1963;Winter;7;13996,8
1964;Herbst;15;15357,6
1964;Sommer;67;466020
1965;Fruehling;25;175370,4
1965;Herbst;51;131090,4
1965;Sommer;31;209455,2
1966;Fruehling;3;4125,6
1966;Herbst;47;425844
1966;Sommer;45;319096,8
1967;Herbst;58;359899,2
1967;Sommer;37;165304,8
1967;Winter;1;1576,8
1968;Fruehling;15;102880,8
1968;Herbst;6;40046,4
1968;Sommer;64;497145,6
1969;Fruehling;1;367,2
1969;Herbst;57;283845,6
1969;Sommer;51;193860
1969;Winter;14;27172,8
1970;Herbst;18;83764,8
1970;Sommer;66;473947,2
1970;Winter;10;18360
1971;Fruehling;6;3542,4
1971;Herbst;39;111067,2
1971;Sommer;49;272894,4
1971;Winter;10;15379,2
1972;Herbst;59;215848,8
1972;Sommer;41;155325,6
1972;Winter;1;4903,2
1973;Herbst;28;125452,8
1973;Sommer;64;428198,4
1974;Fruehling;29;88905,6
1974;Herbst;10;57628,8
1974;Sommer;61;558403,2
1975;Fruehling;6;1728
1975;Herbst;22;56764,8
1975;Sommer;36;264038,4
1975;Winter;20;74995,2
1976;Herbst;28;80524,8
1976;Sommer;60;248832
1977;Fruehling;4;4665,6
1977;Herbst;57;219844,8
1977;Sommer;33;160488
1977;Winter;4;7948,8
1978;Herbst;44;116035,2
1978;Sommer;39;179582,4
1978;Winter;20;49766,4
1979;Fruehling;6;19396,8
1979;Herbst;56;249609,6
1979;Sommer;22;77630,4
1979;Winter;16;38188,8
1980;Fruehling;12;26092,8
1980;Herbst;50;191462,4
1980;Sommer;26;158198,4
1980;Winter;3;3974,4
1981;Fruehling;3;1555,2
1981;Herbst;14;68515,2
1981;Sommer;74;436752
1982;Herbst;8;9158,4
1982;Sommer;78;470750,4
1982;Winter;2;4622,4
1983;Herbst;55;252180
1983;Sommer;33;210405,6
1983;Winter;7;8359,2
1984;Fruehling;16;46310,4
1984;Herbst;1;1252,8
1984;Sommer;60;569808
1985;Herbst;65;578210,4
1985;Sommer;22;53611,2
1985;Winter;10;40564,8
1986;Fruehling;2;1339,2
1986;Herbst;42;210168
1986;Sommer;52;360460,8
1986;Winter;4;9676,8
