Datum;Abfluss [m³/s];day;month;year;Hydro_Jahr;Jahreszeit;Monat;MNQ;NQ;MQ;MHQ;HQ
1950-10-31 00:00:00;0,623;31;10;1950;1950;Herbst;10;0,54;0,33;0,88;3,7;7,48
1950-11-01 00:00:00;0,561;1;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-02 00:00:00;0,545;2;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-03 00:00:00;1,101;3;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-04 00:00:00;1,105;4;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-05 00:00:00;0,869;5;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-06 00:00:00;0,651;6;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-07 00:00:00;0,671;7;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-08 00:00:00;0,593;8;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-09 00:00:00;0,56;9;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-10 00:00:00;0,556;10;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-11 00:00:00;0,617;11;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-12 00:00:00;0,529;12;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-13 00:00:00;0,633;13;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-14 00:00:00;0,812;14;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-15 00:00:00;0,879;15;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-16 00:00:00;0,812;16;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-17 00:00:00;1,014;17;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-18 00:00:00;0,827;18;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-19 00:00:00;0,728;19;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-20 00:00:00;0,643;20;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-21 00:00:00;0,693;21;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-22 00:00:00;0,661;22;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-23 00:00:00;0,577;23;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-24 00:00:00;0,67;24;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-25 00:00:00;0,623;25;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-26 00:00:00;0,567;26;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-27 00:00:00;0,542;27;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-28 00:00:00;0,743;28;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-29 00:00:00;0,817;29;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-11-30 00:00:00;0,77;30;11;1950;1950;Herbst;11;0,54;0,33;0,88;3,7;7,48
1950-12-01 00:00:00;0,73;1;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
1950-12-02 00:00:00;0,846;2;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
1950-12-03 00:00:00;0,807;3;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
1950-12-04 00:00:00;0,861;4;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
1950-12-05 00:00:00;0,865;5;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
1950-12-06 00:00:00;0,798;6;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
1950-12-07 00:00:00;0,777;7;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
1950-12-08 00:00:00;0,747;8;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
1950-12-09 00:00:00;0,628;9;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
1950-12-10 00:00:00;0,619;10;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
1950-12-11 00:00:00;1,154;11;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
1950-12-12 00:00:00;1,295;12;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
1950-12-13 00:00:00;0,984;13;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
1950-12-14 00:00:00;0,824;14;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
1950-12-15 00:00:00;0,801;15;12;1950;1950;Winter;12;0,54;0,33;0,88;3,7;7,48
