,Jahr,MO_TROPENNAECHTE,MO_FROSTTAGE,MO_SOMMERTAGE,MO_HEISSE_TAGE,MO_EISTAGE,MO_SOMMERTAGE_RCP8.5_Minimum,MO_SOMMERTAGE_RCP8.5_Median,MO_SOMMERTAGE_RCP8.5_Maximum,MO_SOMMERTAGE_RCP4.5_Minimum,MO_SOMMERTAGE_RCP4.5_Median,MO_SOMMERTAGE_RCP4.5_Maximum,MO_SOMMERTAGE_RCP2.6_Minimum,MO_SOMMERTAGE_RCP2.6_Median,MO_SOMMERTAGE_RCP2.6_Maximum,MO_HEISSE_TAGE_RCP8.5_Minimum,MO_HEISSE_TAGE_RCP8.5_Median,MO_HEISSE_TAGE_RCP8.5_Maximum,MO_HEISSE_TAGE_RCP4.5_Minimum,MO_HEISSE_TAGE_RCP4.5_Median,MO_HEISSE_TAGE_RCP4.5_Maximum,MO_HEISSE_TAGE_RCP2.6_Minimum,MO_HEISSE_TAGE_RCP2.6_Median,MO_HEISSE_TAGE_RCP2.6_Maximum,MO_TROPENNAECHTE_RCP8.5_Minimum,MO_TROPENNAECHTE_RCP8.5_Median,MO_TROPENNAECHTE_RCP8.5_Maximum,MO_TROPENNAECHTE_RCP4.5_Minimum,MO_TROPENNAECHTE_RCP4.5_Median,MO_TROPENNAECHTE_RCP4.5_Maximum,MO_TROPENNAECHTE_RCP2.6_Minimum,MO_TROPENNAECHTE_RCP2.6_Median,MO_TROPENNAECHTE_RCP2.6_Maximum,MO_FROSTTAGE_RCP8.5_Minimum,MO_FROSTTAGE_RCP8.5_Median,MO_FROSTTAGE_RCP8.5_Maximum,MO_FROSTTAGE_RCP4.5_Minimum,MO_FROSTTAGE_RCP4.5_Median,MO_FROSTTAGE_RCP4.5_Maximum,MO_FROSTTAGE_RCP2.6_Minimum,MO_FROSTTAGE_RCP2.6_Median,MO_FROSTTAGE_RCP2.6_Maximum,MO_EISTAGE_RCP8.5_Minimum,MO_EISTAGE_RCP8.5_Median,MO_EISTAGE_RCP8.5_Maximum,MO_EISTAGE_RCP4.5_Minimum,MO_EISTAGE_RCP4.5_Median,MO_EISTAGE_RCP4.5_Maximum,MO_EISTAGE_RCP2.6_Minimum,MO_EISTAGE_RCP2.6_Median,MO_EISTAGE_RCP2.6_Maximum
0,1969.0,0.0,59.0,29.0,5.0,9.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
1,1971.0,0.0,60.0,30.0,5.0,10.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,1972.0,0.0,59.0,30.0,5.0,10.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
3,1973.0,0.0,58.0,30.0,5.0,10.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
4,1975.0,0.0,55.0,31.0,5.0,9.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
5,1976.0,0.0,56.0,31.0,5.0,9.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
6,1977.0,0.0,55.0,32.0,5.0,9.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
7,1978.0,0.0,52.0,32.0,6.0,7.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
8,1979.0,0.0,51.0,33.0,6.0,7.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
9,1980.0,0.0,52.0,33.0,6.0,8.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
