,Jahr,MO_TT,MO_TX,MO_TN,MO_RR,MO_TT_RCP8.5_Minimum,MO_TT_RCP8.5_Median,MO_TT_RCP8.5_Maximum,MO_TT_RCP4.5_Minimum,MO_TT_RCP4.5_Median,MO_TT_RCP4.5_Maximum,MO_TT_RCP2.6_Minimum,MO_TT_RCP2.6_Median,MO_TT_RCP2.6_Maximum
0,1967.0,9.0,13.0,5.0,65.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
1,1968.0,9.0,13.0,5.0,65.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2,1969.0,9.0,13.0,5.0,66.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
3,1970.0,9.0,13.0,5.0,65.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
4,1971.0,9.0,13.0,5.0,66.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
5,1972.0,9.0,13.0,5.0,66.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
6,1973.0,9.0,13.0,5.0,65.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
7,1974.0,9.0,13.0,5.0,65.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
8,1975.0,9.0,13.0,6.0,66.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
9,1976.0,9.0,13.0,6.0,65.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
10,1977.0,9.0,13.0,6.0,64.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
11,1978.0,10.0,14.0,6.0,64.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
12,1979.0,10.0,14.0,6.0,65.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
13,1980.0,10.0,14.0,6.0,65.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
14,1981.0,10.0,14.0,6.0,64.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
15,1982.0,10.0,14.0,6.0,63.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
16,1983.0,10.0,14.0,6.0,64.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
17,1984.0,10.0,14.0,6.0,64.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
18,1985.0,10.0,14.0,6.0,64.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
19,1986.0,,,,,10.016666666666667,10.027272727272727,10.042424242424243,10.01060606060606,10.021212121212121,10.037878787878787,10.004545454545454,10.018181818181818,10.02878787878788
20,1987.0,,,,,10.033333333333333,10.054545454545455,10.084848484848484,10.021212121212121,10.042424242424243,10.075757575757576,10.00909090909091,10.036363636363637,10.057575757575757
21,1988.0,,,,,10.05,10.081818181818182,10.127272727272727,10.031818181818181,10.063636363636364,10.113636363636363,10.013636363636364,10.054545454545455,10.086363636363636
22,1989.0,,,,,10.066666666666666,10.10909090909091,10.16969696969697,10.042424242424243,10.084848484848484,10.151515151515152,10.018181818181818,10.072727272727272,10.115151515151515
23,1990.0,,,,,10.083333333333334,10.136363636363637,10.212121212121213,10.053030303030303,10.106060606060606,10.18939393939394,10.022727272727273,10.090909090909092,10.143939393939394
24,1991.0,,,,,10.1,10.163636363636364,10.254545454545454,10.063636363636364,10.127272727272727,10.227272727272727,10.027272727272727,10.10909090909091,10.172727272727272
25,1992.0,,,,,10.116666666666667,10.190909090909091,10.296969696969697,10.074242424242424,10.148484848484848,10.265151515151516,10.031818181818181,10.127272727272727,10.201515151515151
26,1993.0,,,,,10.133333333333333,10.218181818181819,10.33939393939394,10.084848484848484,10.16969696969697,10.303030303030303,10.036363636363637,10.145454545454545,10.23030303030303
27,1994.0,,,,,10.15,10.245454545454546,10.381818181818183,10.095454545454546,10.190909090909091,10.340909090909092,10.040909090909091,10.163636363636364,10.25909090909091
28,1995.0,,,,,10.166666666666666,10.272727272727273,10.424242424242424,10.106060606060606,10.212121212121213,10.378787878787879,10.045454545454545,10.181818181818182,10.287878787878787
29,1996.0,,,,,10.183333333333334,10.3,10.466666666666667,10.116666666666667,10.233333333333334,10.416666666666666,10.05,10.2,10.316666666666666
30,1997.0,,,,,10.2,10.327272727272728,10.50909090909091,10.127272727272727,10.254545454545454,10.454545454545455,10.054545454545455,10.218181818181819,10.345454545454546
31,1998.0,,,,,10.216666666666667,10.354545454545455,10.55151515151515,10.137878787878789,10.275757575757575,10.492424242424242,10.059090909090909,10.236363636363636,10.374242424242425
32,1999.0,,,,,10.233333333333333,10.381818181818183,10.593939393939394,10.148484848484848,10.296969696969697,10.530303030303031,10.063636363636364,10.254545454545454,10.403030303030302
33,2000.0,,,,,10.25,10.40909090909091,10.636363636363637,10.159090909090908,10.318181818181818,10.568181818181818,10.068181818181818,10.272727272727273,10.431818181818182
34,2001.0,,,,,10.266666666666666,10.436363636363637,10.67878787878788,10.16969696969697,10.33939393939394,10.606060606060606,10.072727272727272,10.290909090909091,10.460606060606061
35,2002.0,,,,,10.283333333333333,10.463636363636363,10.72121212121212,10.18030303030303,10.360606060606061,10.643939393939394,10.077272727272728,10.309090909090909,10.48939393939394
36,2003.0,,,,,10.3,10.49090909090909,10.763636363636364,10.190909090909091,10.381818181818183,10.681818181818182,10.081818181818182,10.327272727272726,10.518181818181818
37,2004.0,,,,,10.316666666666666,10.518181818181818,10.806060606060607,10.201515151515151,10.403030303030302,10.719696969696969,10.086363636363636,10.345454545454546,10.546969696969697
38,2005.0,,,,,10.333333333333334,10.545454545454545,10.848484848484848,10.212121212121211,10.424242424242424,10.757575757575758,10.090909090909092,10.363636363636363,10.575757575757576
39,2006.0,,,,,10.35,10.572727272727272,10.89090909090909,10.222727272727273,10.445454545454545,10.795454545454545,10.095454545454546,10.381818181818181,10.604545454545455
40,2007.0,,,,,10.366666666666667,10.6,10.933333333333334,10.233333333333333,10.466666666666667,10.833333333333334,10.1,10.4,10.633333333333333
41,2008.0,,,,,10.383333333333333,10.627272727272727,10.975757575757576,10.243939393939394,10.487878787878788,10.871212121212121,10.104545454545455,10.418181818181818,10.662121212121212
