,Jahr,MO_RR_Jahr,RSK,MO_RR_Sommer,MO_RR_Winter,MO_RR_Jahr_RCP8.5_Minimum,MO_RR_Jahr_RCP8.5_Median,MO_RR_Jahr_RCP8.5_Maximum,MO_RR_Jahr_RCP4.5_Minimum,MO_RR_Jahr_RCP4.5_Median,MO_RR_Jahr_RCP4.5_Maximum,MO_RR_Jahr_RCP2.6_Minimum,MO_RR_Jahr_RCP2.6_Median,MO_RR_Jahr_RCP2.6_Maximum,MO_RR_Sommer_RCP8.5_Minimum,MO_RR_Sommer_RCP8.5_Median,MO_RR_Sommer_RCP8.5_Maximum,MO_RR_Sommer_RCP4.5_Minimum,MO_RR_Sommer_RCP4.5_Median,MO_RR_Sommer_RCP4.5_Maximum,MO_RR_Sommer_RCP2.6_Minimum,MO_RR_Sommer_RCP2.6_Median,MO_RR_Sommer_RCP2.6_Maximum,MO_RR_Winter_RCP8.5_Minimum,MO_RR_Winter_RCP8.5_Median,MO_RR_Winter_RCP8.5_Maximum,MO_RR_Winter_RCP4.5_Minimum,MO_RR_Winter_RCP4.5_Median,MO_RR_Winter_RCP4.5_Maximum,MO_RR_Winter_RCP2.6_Minimum,MO_RR_Winter_RCP2.6_Median,MO_RR_Winter_RCP2.6_Maximum,RSK_RCP8.5_Minimum,RSK_RCP8.5_Median,RSK_RCP8.5_Maximum,RSK_RCP4.5_Minimum,RSK_RCP4.5_Median,RSK_RCP4.5_Maximum,RSK_RCP2.6_Minimum,RSK_RCP2.6_Median,RSK_RCP2.6_Maximum
0,1969.0,812.0,226.0,240.0,190.0,812.0,812.0,812.0,812.0,812.0,812.0,812.0,812.0,812.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0
1,1971.0,809.0,226.0,237.0,191.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0
2,1972.0,806.0,226.0,234.0,192.0,806.0,806.0,806.0,806.0,806.0,806.0,806.0,806.0,806.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0
3,1973.0,805.0,225.0,232.0,193.0,805.0,805.0,805.0,805.0,805.0,805.0,805.0,805.0,805.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0
4,1975.0,794.0,227.0,226.0,193.0,794.0,794.0,794.0,794.0,794.0,794.0,794.0,794.0,794.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0
5,1976.0,778.0,228.0,220.0,190.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0
6,1977.0,777.0,229.0,220.0,191.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0
7,1978.0,783.0,228.0,217.0,196.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0
8,1979.0,785.0,228.0,215.0,202.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0
9,1980.0,772.0,230.0,212.0,197.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0
