,Jahr,Monat, RSK,Trendlinie_RSK
0,1954,229,229,218.08823529411757
1,1955,153,153,218.4525899912203
2,1956,215,215,218.81694468832302
3,1957,231,231,219.18129938542575
4,1958,221,221,219.54565408252847
5,1959,244,244,219.9100087796312
6,1960,215,215,220.27436347673392
7,1961,216,216,220.63871817383665
8,1962,223,223,221.00307287093938
9,1963,243,243,221.3674275680421
10,1964,248,248,221.73178226514472
11,1965,193,193,222.09613696224744
12,1966,195,195,222.46049165935017
13,1967,214,214,222.8248463564529
14,1968,220,220,223.18920105355562
15,1969,244,244,223.55355575065835
16,1970,208,208,223.91791044776107
17,1971,225,225,224.2822651448638
18,1972,260,260,224.64661984196653
19,1973,253,253,225.01097453906925
20,1974,199,199,225.37532923617198
21,1975,252,252,225.7396839332747
22,1976,260,260,226.10403863037743
23,1977,227,227,226.46839332748016
24,1978,238,238,226.83274802458288
25,1979,215,215,227.1971027216856
26,1980,226,226,227.56145741878834
27,1981,207,207,227.92581211589106
28,1982,236,236,228.2901668129938
29,1983,232,232,228.65452151009652
30,1984,219,219,229.01887620719924
31,1985,218,218,229.38323090430197
32,1986,235,235,229.7475856014047
33,1987,224,224,230.11194029850742
34,1988,202,202,230.47629499561003
35,1989,249,249,230.84064969271276
36,1990,242,242,231.20500438981549
37,1991,260,260,231.5693590869182
38,1992,210,210,231.93371378402094
39,1993,227,227,232.29806848112366
40,1994,235,235,232.6624231782264
41,1995,234,234,233.02677787532912
42,1996,260,260,233.39113257243184
43,1997,246,246,233.75548726953457
44,1998,193,193,234.1198419666373
45,1999,234,234,234.48419666374002
46,2000,222,222,234.84855136084275
47,2001,213,213,235.21290605794547
48,2002,225,225,235.5772607550482
49,2003,250,250,235.94161545215093
50,2004,228,228,236.30597014925365
51,2005,240,240,236.67032484635638
52,2006,242,242,237.0346795434591
53,2007,234,234,237.39903424056183
54,2008,238,238,237.76338893766456
55,2009,238,238,238.12774363476728
56,2010,235,235,238.49209833187
57,2011,243,243,238.85645302897274
58,2012,233,233,239.22080772607535
59,2013,244,244,239.58516242317808
60,2014,244,244,239.9495171202808
61,2015,231,231,240.31387181738353
62,2016,243,243,240.67822651448625
63,2017,232,232,241.04258121158898
64,2018,276,276,241.4069359086917
65,2019,232,232,241.77129060579443
66,2020,254,254,242.13564530289716
67,2021,233,233,242.4999999999999
